Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-No-Sun-No-Moon-Days
2000-06-07,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-06-08,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-06-09,,,0:00:00,16:01:00,23:01:00,,,7:00:00,,,0:00:00,00:00:00,00:00:00,17:00:00,,,,
2000-06-10,,,0:00:00,15:05:00,,,,8:55:00,,,0:00:00,00:00:00,15:05:00,15:05:00,,,,
2000-06-11,,,0:00:00,,01:39:00,14:20:00,,11:19:00,,,0:00:00,01:39:00,14:20:00,12:41:00,,,,
2000-06-12,,,0:00:00,,04:05:00,13:35:00,,14:30:00,,,0:00:00,04:05:00,13:35:00,9:30:00,,,,
2000-06-13,,,0:00:00,12:36:00,,,,11:24:00,,,0:00:00,00:00:00,12:36:00,12:36:00,,,,
2000-06-14,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-06-15,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-06-16,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-06-17,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-06-18,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-06-19,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-06-20,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-06-21,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-06-22,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-06-23,,,0:00:00,,16:01:00,19:52:00,,20:09:00,,,0:00:00,16:01:00,19:52:00,3:51:00,,,,
2000-06-24,,,0:00:00,,14:42:00,22:47:00,,15:55:00,,,0:00:00,14:42:00,22:47:00,8:05:00,,,,
2000-06-25,,,0:00:00,,13:53:00,,,13:53:00,,,0:00:00,13:53:00,00:00:00,10:07:00,,,,
2000-06-26,,,0:00:00,01:16:00,13:08:00,,,11:52:00,,,0:00:00,00:00:00,00:00:00,12:08:00,,,,
2000-06-27,,,0:00:00,03:50:00,,,,20:10:00,,,0:00:00,00:00:00,03:50:00,3:50:00,,,,
2000-06-28,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-06-29,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-06-30,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-07-01,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-07-02,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-07-03,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-07-04,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-07-05,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-07-06,,,0:00:00,14:50:00,19:58:00,,,5:08:00,,,0:00:00,00:00:00,00:00:00,18:52:00,,,,
2000-07-07,,,0:00:00,13:38:00,22:56:00,,,9:18:00,,,0:00:00,00:00:00,00:00:00,14:42:00,,,,
2000-07-08,,,0:00:00,12:50:00,,,,11:10:00,,,0:00:00,00:00:00,12:50:00,12:50:00,,,,
2000-07-09,,,0:00:00,,01:27:00,,,1:27:00,,,0:00:00,01:27:00,00:00:00,22:33:00,,,,
2000-07-10,,,0:00:00,,03:59:00,11:13:00,,16:46:00,,,0:00:00,03:59:00,11:13:00,7:14:00,,,,
2000-07-11,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-07-12,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-07-13,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-07-14,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-07-15,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-07-16,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-07-17,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-07-18,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-07-19,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-07-20,,,0:00:00,,15:29:00,16:18:00,,23:11:00,,,0:00:00,15:29:00,16:18:00,0:49:00,,,,
2000-07-21,,,0:00:00,,13:15:00,20:07:00,,17:08:00,,,0:00:00,13:15:00,20:07:00,6:52:00,,,,
2000-07-22,,,0:00:00,22:37:00,,,,1:23:00,,,0:00:00,00:00:00,22:37:00,22:37:00,,,,
2000-07-23,,,0:00:00,,11:37:00,,,11:37:00,,,0:00:00,11:37:00,00:00:00,12:23:00,,,,
2000-07-24,,,0:00:00,01:04:00,10:52:00,,,9:48:00,,,0:00:00,00:00:00,00:00:00,14:12:00,,,,
2000-07-25,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-07-26,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-07-27,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-07-28,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-07-29,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-07-30,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-07-31,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-08-01,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
