Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Moon-Phase-Angle,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,Visible-Overlap-Sun-Moon-Start-Time,Visible-Overlap-Sun-Moon-End-Time,Total-Visible-Overlap-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-Visible-Overlap-Days,Total-No-Sun-No-Moon-Days
2022-03-17,06:09:11,18:20:05,12:10:54,,05:20:00,18:16:00,,11:04:00,169.43,18:16:00,18:20:05,0:04:05,18:16:00,18:20:05,0:04:05,05:20:00,06:09:11,0:49:12,,,,,
2022-03-18,06:09:35,18:19:06,12:09:31,,06:17:00,18:51:00,,11:26:00,182.43,06:09:35,06:17:00,0:07:24,06:09:35,06:17:00,0:07:24,18:19:06,18:51:00,0:31:54,,,,,
2022-03-19,06:09:59,18:18:07,12:08:08,,07:14:00,19:27:00,,11:47:00,194.43,06:09:59,07:14:00,1:04:00,06:09:59,07:14:00,1:04:00,18:18:07,19:27:00,1:08:53,,,,,
2022-03-20,06:10:23,18:17:08,12:06:45,,08:13:00,20:04:00,,12:09:00,207.43,06:10:23,08:13:00,2:02:37,06:10:23,08:13:00,2:02:37,18:17:08,20:04:00,1:46:52,,,,,
2022-03-21,06:10:46,18:16:09,12:05:22,,09:15:00,20:44:00,,12:31:00,220.43,06:10:46,09:15:00,3:04:13,06:10:46,09:15:00,3:04:13,18:16:09,20:44:00,2:27:51,,,,,
2022-03-22,06:11:10,18:15:10,12:04:00,,10:18:00,,,10:18:00,233.43,06:11:10,10:18:00,4:06:50,06:11:10,10:18:00,4:06:50,18:15:10,00:00:00,5:44:50,,,,,
2022-03-23,06:11:33,18:14:10,12:02:37,,11:24:00,22:21:00,,13:03:00,246.43,06:11:33,11:24:00,5:12:27,06:11:33,11:24:00,5:12:27,18:14:10,22:21:00,4:06:49,,,,,
2022-03-24,06:11:56,18:13:11,12:01:15,,12:30:00,23:18:00,,13:12:00,259.43,06:11:56,12:30:00,6:18:03,06:11:56,12:30:00,6:18:03,18:13:11,23:18:00,5:04:48,,,,,
2022-03-25,06:12:19,18:12:12,11:59:53,,13:33:00,,,13:33:00,272.43,06:12:19,13:33:00,7:20:40,,,0:00:00,18:12:12,00:00:00,5:47:48,,,,,
2022-03-26,06:12:42,18:11:13,11:58:31,00:21:00,14:31:00,,,14:10:00,285.43,06:12:42,14:31:00,8:18:17,,,0:00:00,00:00:00,00:00:00,6:09:47,,,,,
2022-03-27,06:13:05,18:10:14,11:57:09,01:25:00,15:23:00,,,13:58:00,299.43,06:13:05,15:23:00,9:09:54,,,0:00:00,00:00:00,00:00:00,7:14:46,,,,,
2022-03-28,06:13:28,18:09:15,11:55:47,02:30:00,16:08:00,,,13:38:00,311.43,06:13:28,16:08:00,9:54:32,,,0:00:00,00:00:00,00:00:00,8:20:45,,,,,
2022-03-29,06:13:51,18:08:16,11:54:25,03:33:00,16:49:00,,,13:16:00,324.43,06:13:51,16:49:00,10:35:09,,,0:00:00,00:00:00,00:00:00,9:24:43,,,,,
2022-03-30,06:14:13,18:07:17,11:53:04,04:32:00,17:26:00,,,12:54:00,337.43,06:14:13,17:26:00,11:11:46,,,0:00:00,00:00:00,00:00:00,10:24:42,,,,,
2022-03-31,06:14:36,18:06:19,11:51:43,05:30:00,18:00:00,,,12:30:00,350.43,06:14:36,18:00:00,11:45:23,,,0:00:00,00:00:00,00:00:00,11:23:41,,,,,
2022-04-01,06:14:59,18:05:21,11:50:22,06:26:00,18:33:00,,,12:07:00,2.43,06:26:00,18:05:21,11:39:21,,,0:00:00,00:00:00,00:00:00,11:41:59,,,,,
2022-04-02,06:15:22,18:04:23,11:49:01,07:20:00,19:07:00,,,11:47:00,14.43,07:20:00,18:04:23,10:44:23,,,0:00:00,00:00:00,00:00:00,11:08:22,,,,,
2022-04-03,06:15:45,18:03:25,11:47:40,08:15:00,19:42:00,,,11:27:00,26.43,08:15:00,18:03:25,9:48:25,,,0:00:00,00:00:00,00:00:00,10:33:45,,,,,
2022-04-04,06:16:07,18:02:28,11:46:20,09:09:00,20:19:00,,,11:10:00,38.43,09:09:00,18:02:28,8:53:28,,,0:00:00,00:00:00,00:00:00,9:57:08,,,,,
2022-04-05,06:16:30,18:01:30,11:45:00,10:04:00,20:59:00,,,10:55:00,49.43,10:04:00,18:01:30,7:57:31,,,0:00:00,00:00:00,00:00:00,9:17:31,,,,,
2022-04-06,06:16:53,18:00:34,11:43:40,10:59:00,,,,13:01:00,60.43,10:59:00,18:00:34,7:01:34,,,0:00:00,00:00:00,06:16:53,6:16:54,,,,,
2022-04-07,06:17:16,17:59:37,11:42:21,11:53:00,22:32:00,,,10:39:00,71.43,11:53:00,17:59:37,6:06:38,,,0:00:00,00:00:00,00:00:00,7:45:17,,,,,
2022-04-08,06:17:39,17:58:41,11:41:02,12:44:00,23:23:00,,,10:39:00,82.43,12:44:00,17:58:41,5:14:42,,,0:00:00,00:00:00,00:00:00,6:54:40,,,,,
2022-04-09,06:18:02,17:57:45,11:39:43,13:32:00,,,,10:28:00,92.43,13:32:00,17:57:45,4:25:46,13:32:00,17:57:45,4:25:46,00:00:00,06:18:02,6:18:03,,,,,
2022-04-10,06:18:25,17:56:50,11:38:25,,00:17:00,14:17:00,,10:00:00,103.43,14:17:00,17:56:50,3:39:51,14:17:00,17:56:50,3:39:51,00:17:00,06:18:25,6:01:26,,,,,
2022-04-11,06:18:49,17:55:55,11:37:07,,01:13:00,14:58:00,,10:15:00,114.43,14:58:00,17:55:55,2:57:56,14:58:00,17:55:55,2:57:56,01:13:00,06:18:49,5:05:49,,,,,
2022-04-12,06:19:12,17:55:01,11:35:49,,02:09:00,15:36:00,,10:33:00,126.43,15:36:00,17:55:01,2:19:02,15:36:00,17:55:01,2:19:02,02:09:00,06:19:12,4:10:13,,,,,
2022-04-13,06:19:36,17:54:07,11:34:31,,03:05:00,16:12:00,,10:53:00,138.43,16:12:00,17:54:07,1:42:08,16:12:00,17:54:07,1:42:08,03:05:00,06:19:36,3:14:36,,,,,
2022-04-14,06:19:59,17:53:14,11:33:15,,04:02:00,16:47:00,,11:15:00,150.43,16:47:00,17:53:14,1:06:14,16:47:00,17:53:14,1:06:14,04:02:00,06:19:59,2:18:00,,,,,
2022-04-15,06:20:23,17:52:21,11:31:58,,05:00:00,17:22:00,,11:38:00,162.43,17:22:00,17:52:21,0:30:22,17:22:00,17:52:21,0:30:22,05:00:00,06:20:23,1:20:24,,,,,
2022-04-16,06:20:47,17:51:29,11:30:42,,05:59:00,17:59:00,,12:00:00,175.43,,,0:00:00,,,0:00:00,05:59:00,17:59:00,0:29:18,,,,,
