Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-No-Sun-No-Moon-Days
2018-03-17,07:04:34,19:04:41,12:00:07,07:24:00,19:19:00,,,11:55:00,07:24:00,19:04:41,11:40:42,00:00:00,00:00:00,11:45:35,,,,
2018-03-18,07:02:55,19:05:45,12:02:50,07:54:00,,,,16:06:00,07:54:00,19:05:45,11:11:46,00:00:00,07:02:55,7:02:56,,,,
2018-03-19,07:01:16,19:06:50,12:05:33,08:25:00,21:28:00,,,13:03:00,08:25:00,19:06:50,10:41:50,00:00:00,00:00:00,9:33:17,,,,
2018-03-20,06:59:37,19:07:53,12:08:16,08:58:00,22:34:00,,,13:36:00,08:58:00,19:07:53,10:09:54,00:00:00,00:00:00,8:25:37,,,,
2018-03-21,06:57:58,19:08:57,12:11:00,09:34:00,23:42:00,,,14:08:00,09:34:00,19:08:57,9:34:58,00:00:00,00:00:00,7:15:58,,,,
2018-03-22,06:56:18,19:10:01,12:13:43,10:14:00,,,,13:46:00,10:14:00,19:10:01,8:56:01,00:00:00,06:56:18,6:56:19,,,,
2018-03-23,06:54:39,19:11:04,12:16:26,,00:48:00,11:00:00,,13:48:00,11:00:00,19:11:04,8:11:05,00:48:00,06:54:39,6:06:39,,,,
2018-03-24,06:52:59,19:12:08,12:19:08,,01:53:00,11:53:00,,14:00:00,11:53:00,19:12:08,7:19:08,01:53:00,06:52:59,5:00:00,,,,
2018-03-25,06:51:20,19:13:11,12:21:51,,02:53:00,12:52:00,,14:01:00,12:52:00,19:13:11,6:21:12,02:53:00,06:51:20,3:58:20,,,,
2018-03-26,06:49:41,19:14:14,12:24:34,,03:48:00,13:57:00,,13:51:00,13:57:00,19:14:14,5:17:15,03:48:00,06:49:41,3:01:41,,,,
2018-03-27,06:48:01,19:15:18,12:27:16,,04:36:00,15:05:00,,13:31:00,15:05:00,19:15:18,4:10:18,04:36:00,06:48:01,2:12:02,,,,
2018-03-28,06:46:22,19:16:21,12:29:58,,05:18:00,16:14:00,,13:04:00,16:14:00,19:16:21,3:02:21,05:18:00,06:46:22,1:28:23,,,,
2018-03-29,06:44:43,19:17:24,12:32:40,,05:56:00,17:23:00,,12:33:00,17:23:00,19:17:24,1:54:24,05:56:00,06:44:43,0:48:44,,,,
2018-03-30,06:43:04,19:18:27,12:35:22,,06:30:00,18:31:00,,11:59:00,18:31:00,19:18:27,0:47:27,06:30:00,06:43:04,0:13:05,,,,
2018-03-31,06:41:26,19:19:30,12:38:04,,07:03:00,19:38:00,,11:25:00,06:41:26,07:03:00,0:21:34,19:19:30,19:38:00,0:18:30,,,,
2018-04-01,06:39:47,19:20:32,12:40:45,,07:34:00,,,7:34:00,06:39:47,07:34:00,0:54:12,19:20:32,00:00:00,4:39:27,,,,
2018-04-02,06:38:09,19:21:35,12:43:26,,08:06:00,21:46:00,,10:20:00,06:38:09,08:06:00,1:27:50,19:21:35,21:46:00,2:24:24,,,,
2018-04-03,06:36:31,19:22:38,12:46:07,,08:40:00,22:47:00,,9:53:00,06:36:31,08:40:00,2:03:28,19:22:38,22:47:00,3:24:21,,,,
2018-04-04,06:34:54,19:23:41,12:48:47,,09:15:00,23:46:00,,9:29:00,06:34:54,09:15:00,2:40:06,19:23:41,23:46:00,4:22:19,,,,
2018-04-05,06:33:17,19:24:44,12:51:27,,09:54:00,,,9:54:00,06:33:17,09:54:00,3:20:43,19:24:44,00:00:00,4:35:16,,,,
2018-04-06,06:31:40,19:25:47,12:54:07,00:42:00,10:36:00,,,9:54:00,06:31:40,10:36:00,4:04:20,00:00:00,00:00:00,5:16:13,,,,
2018-04-07,06:30:03,19:26:49,12:56:46,01:33:00,11:22:00,,,9:49:00,06:30:03,11:22:00,4:51:56,00:00:00,00:00:00,6:06:10,,,,
2018-04-08,06:28:28,19:27:52,12:59:25,02:21:00,12:13:00,,,9:52:00,06:28:28,12:13:00,5:44:32,00:00:00,00:00:00,6:53:07,,,,
2018-04-09,06:26:52,19:28:55,13:02:03,03:04:00,13:06:00,,,10:02:00,06:26:52,13:06:00,6:39:07,00:00:00,00:00:00,7:35:04,,,,
2018-04-10,06:25:17,19:29:58,13:04:41,03:43:00,14:03:00,,,10:20:00,06:25:17,14:03:00,7:37:42,00:00:00,00:00:00,8:13:02,,,,
2018-04-11,06:23:43,19:31:01,13:07:18,04:19:00,15:01:00,,,10:42:00,06:23:43,15:01:00,8:37:17,00:00:00,00:00:00,8:47:59,,,,
2018-04-12,06:22:09,19:32:04,13:09:55,04:52:00,16:02:00,,,11:10:00,06:22:09,16:02:00,9:39:51,00:00:00,00:00:00,9:19:56,,,,
2018-04-13,06:20:36,19:33:06,13:12:31,05:23:00,17:04:00,,,11:41:00,06:20:36,17:04:00,10:43:24,00:00:00,00:00:00,9:49:53,,,,
2018-04-14,06:19:03,19:34:09,13:15:06,05:54:00,18:08:00,,,12:14:00,06:19:03,18:08:00,11:48:57,00:00:00,00:00:00,10:19:50,,,,
2018-04-15,06:17:31,19:35:12,13:17:41,06:24:00,19:14:00,,,12:50:00,06:24:00,19:14:00,12:50:00,00:00:00,00:00:00,10:42:19,,,,
2018-04-16,06:16:00,19:36:15,13:20:16,06:57:00,,,,17:03:00,06:57:00,19:36:15,12:39:16,00:00:00,06:16:00,6:16:00,,,,
2018-04-17,06:14:29,19:37:18,13:22:49,07:32:00,21:30:00,,,13:58:00,07:32:00,19:37:18,12:05:19,00:00:00,00:00:00,8:44:30,,,,
2018-04-18,06:12:59,19:38:21,13:25:22,08:11:00,22:39:00,,,14:28:00,08:11:00,19:38:21,11:27:22,00:00:00,00:00:00,7:34:00,,,,
2018-04-19,06:11:30,19:39:24,13:27:54,08:56:00,23:46:00,,,14:50:00,08:56:00,19:39:24,10:43:25,00:00:00,00:00:00,6:25:31,,,,
2018-04-20,06:10:02,19:40:27,13:30:25,09:48:00,,,,14:12:00,09:48:00,19:40:27,9:52:28,00:00:00,06:10:02,6:10:03,,,,
2018-04-21,06:08:35,19:41:30,13:32:55,,00:49:00,10:46:00,,14:03:00,10:46:00,19:41:30,8:55:31,00:49:00,06:08:35,5:19:35,,,,
2018-04-22,06:07:08,19:42:33,13:35:25,,01:46:00,11:49:00,,13:57:00,11:49:00,19:42:33,7:53:34,01:46:00,06:07:08,4:21:09,,,,
2018-04-23,06:05:43,19:43:36,13:37:53,,02:36:00,12:56:00,,13:40:00,12:56:00,19:43:36,6:47:36,02:36:00,06:05:43,3:29:43,,,,
2018-04-24,06:04:18,19:44:39,13:40:21,,03:19:00,14:03:00,,13:16:00,14:03:00,19:44:39,5:41:39,03:19:00,06:04:18,2:45:18,,,,
2018-04-25,06:02:54,19:45:42,13:42:47,,03:57:00,15:11:00,,12:46:00,15:11:00,19:45:42,4:34:42,03:57:00,06:02:54,2:05:55,,,,
2018-04-26,06:01:32,19:46:45,13:45:13,,04:31:00,16:18:00,,12:13:00,16:18:00,19:46:45,3:28:45,04:31:00,06:01:32,1:30:32,,,,
2018-04-27,06:00:10,19:47:47,13:47:37,,05:03:00,17:24:00,,11:39:00,17:24:00,19:47:47,2:23:48,05:03:00,06:00:10,0:57:10,,,,
2018-04-28,05:58:49,19:48:50,13:50:01,,05:34:00,18:28:00,,11:06:00,18:28:00,19:48:50,1:20:51,05:34:00,05:58:49,0:24:50,,,,
2018-04-29,05:57:30,19:49:53,13:52:23,,06:05:00,19:32:00,,10:33:00,05:57:30,19:49:53,0:25:23,,,0:00:00,,,,
2018-04-30,05:56:12,19:50:55,13:54:44,,06:37:00,,,6:37:00,05:56:12,06:37:00,0:40:48,19:50:55,00:00:00,4:09:04,,,,
2018-05-01,05:54:54,19:51:58,13:57:03,,07:11:00,21:34:00,,9:37:00,05:54:54,07:11:00,1:16:05,19:51:58,21:34:00,1:42:02,,,,
2018-05-02,05:53:38,19:53:00,13:59:21,,07:48:00,22:32:00,,9:16:00,05:53:38,07:48:00,1:54:21,19:53:00,22:32:00,2:39:00,,,,
2018-05-03,05:52:24,19:54:02,14:01:38,,08:29:00,23:26:00,,9:03:00,05:52:24,08:29:00,2:36:36,19:54:02,23:26:00,3:31:58,,,,
2018-05-04,05:51:10,19:55:04,14:03:54,,09:14:00,,,9:14:00,05:51:10,09:14:00,3:22:49,19:55:04,00:00:00,4:04:56,,,,
2018-05-05,05:49:58,19:56:06,14:06:08,00:16:00,10:03:00,,,9:47:00,05:49:58,10:03:00,4:13:02,00:00:00,00:00:00,4:19:54,,,,
2018-05-06,05:48:47,19:57:07,14:08:20,01:01:00,10:56:00,,,9:55:00,05:48:47,10:56:00,5:07:12,00:00:00,00:00:00,5:03:52,,,,
2018-05-07,05:47:38,19:58:08,14:10:31,01:41:00,11:51:00,,,10:10:00,05:47:38,11:51:00,6:03:22,00:00:00,00:00:00,5:42:51,,,,
2018-05-08,05:46:29,19:59:09,14:12:40,02:18:00,12:48:00,,,10:30:00,05:46:29,12:48:00,7:01:30,00:00:00,00:00:00,6:18:50,,,,
2018-05-09,05:45:23,20:00:10,14:14:47,02:51:00,13:47:00,,,10:56:00,05:45:23,13:47:00,8:01:37,00:00:00,00:00:00,6:50:50,,,,
2018-05-10,05:44:17,20:01:10,14:16:53,03:22:00,14:48:00,,,11:26:00,05:44:17,14:48:00,9:03:42,00:00:00,00:00:00,7:20:49,,,,
2018-05-11,05:43:14,20:02:10,14:18:57,03:53:00,15:50:00,,,11:57:00,05:43:14,15:50:00,10:06:46,00:00:00,00:00:00,7:50:49,,,,
2018-05-12,05:42:11,20:03:10,14:20:59,04:22:00,16:55:00,,,12:33:00,05:42:11,16:55:00,11:12:48,00:00:00,00:00:00,8:18:50,,,,
2018-05-13,05:41:10,20:04:09,14:22:59,04:54:00,18:02:00,,,13:08:00,05:41:10,18:02:00,12:20:49,00:00:00,00:00:00,8:49:50,,,,
2018-05-14,05:40:11,20:05:08,14:24:57,05:27:00,19:11:00,,,13:44:00,05:40:11,19:11:00,13:30:48,00:00:00,00:00:00,9:21:52,,,,
2018-05-15,05:39:14,20:06:06,14:26:53,06:05:00,,,,17:55:00,06:05:00,20:06:06,14:01:07,00:00:00,05:39:14,5:39:14,,,,
2018-05-16,05:38:18,20:07:04,14:28:46,06:48:00,21:32:00,,,14:44:00,06:48:00,20:07:04,13:19:04,00:00:00,00:00:00,8:06:18,,,,
2018-05-17,05:37:23,20:08:01,14:30:38,07:38:00,22:39:00,,,15:01:00,07:38:00,20:08:01,12:30:02,00:00:00,00:00:00,6:58:24,,,,
2018-05-18,05:36:31,20:08:58,14:32:27,08:36:00,23:41:00,,,15:05:00,08:36:00,20:08:58,11:32:58,00:00:00,00:00:00,5:55:31,,,,
2018-05-19,05:35:40,20:09:54,14:34:14,09:39:00,,,,14:21:00,09:39:00,20:09:54,10:30:54,00:00:00,05:35:40,5:35:40,,,,
2018-05-20,05:34:50,20:10:49,14:35:59,,00:34:00,10:46:00,,13:48:00,10:46:00,20:10:49,9:24:50,00:34:00,05:34:50,5:00:51,,,,
2018-05-21,05:34:03,20:11:44,14:37:41,,01:20:00,11:55:00,,13:25:00,11:55:00,20:11:44,8:16:44,01:20:00,05:34:03,4:14:03,,,,
2018-05-22,05:33:17,20:12:38,14:39:21,,02:00:00,13:03:00,,12:57:00,13:03:00,20:12:38,7:09:38,02:00:00,05:33:17,3:33:18,,,,
2018-05-23,05:32:33,20:13:31,14:40:58,,02:35:00,14:10:00,,12:25:00,14:10:00,20:13:31,6:03:31,02:35:00,05:32:33,2:57:34,,,,
2018-05-24,05:31:51,20:14:23,14:42:32,,03:07:00,15:15:00,,11:52:00,15:15:00,20:14:23,4:59:24,03:07:00,05:31:51,2:24:51,,,,
2018-05-25,05:31:11,20:15:15,14:44:04,,03:37:00,16:19:00,,11:18:00,16:19:00,20:15:15,3:56:15,03:37:00,05:31:11,1:54:11,,,,
2018-05-26,05:30:32,20:16:05,14:45:33,,04:07:00,17:22:00,,10:45:00,17:22:00,20:16:05,2:54:06,04:07:00,05:30:32,1:23:33,,,,
2018-05-27,05:29:56,20:16:55,14:46:59,,04:38:00,18:24:00,,10:14:00,18:24:00,20:16:55,1:52:55,04:38:00,05:29:56,0:51:56,,,,
2018-05-28,05:29:21,20:17:43,14:48:22,,05:11:00,19:24:00,,9:47:00,19:24:00,20:17:43,0:53:44,05:11:00,05:29:21,0:18:21,,,,
2018-05-29,05:28:48,20:18:31,14:49:43,,05:46:00,,,5:46:00,05:28:48,05:46:00,0:17:11,20:18:31,00:00:00,3:41:29,,,,
