Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Moon-Phase-Angle,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,Visible-Overlap-Sun-Moon-Start-Time,Visible-Overlap-Sun-Moon-End-Time,Total-Visible-Overlap-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-Visible-Overlap-Days,Total-No-Sun-No-Moon-Days
2011-03-03,06:44:15,19:29:40,12:45:25,05:03:00,18:21:00,,,13:18:00,345.43,06:44:15,18:21:00,11:36:45,,,0:00:00,00:00:00,00:00:00,9:33:19,,,,,
2011-03-04,06:45:05,19:28:24,12:43:19,05:58:00,18:49:00,,,12:51:00,356.43,06:45:05,18:49:00,12:03:54,,,0:00:00,00:00:00,00:00:00,10:29:35,,,,,
2011-03-05,06:45:56,19:27:08,12:41:12,06:53:00,19:17:00,,,12:24:00,7.43,06:53:00,19:17:00,12:24:00,,,0:00:00,00:00:00,00:00:00,11:18:48,,,,,
2011-03-06,06:46:45,19:25:51,12:39:05,07:47:00,19:44:00,,,11:57:00,18.43,07:47:00,19:25:51,11:38:51,,,0:00:00,00:00:00,00:00:00,11:02:46,,,,,
2011-03-07,06:47:35,19:24:33,12:36:58,08:42:00,20:12:00,,,11:30:00,29.43,08:42:00,19:24:33,10:42:34,,,0:00:00,00:00:00,00:00:00,10:35:35,,,,,
2011-03-08,06:48:24,19:23:15,12:34:51,09:37:00,20:42:00,,,11:05:00,39.43,09:37:00,19:23:15,9:46:16,,,0:00:00,00:00:00,00:00:00,10:06:25,,,,,
2011-03-09,06:49:13,19:21:57,12:32:44,,21:15:00,,,21:15:00,50.43,06:49:13,19:21:57,12:32:44,,,0:00:00,21:15:00,00:00:00,2:45:00,,,,,
2011-03-10,06:50:02,19:20:38,12:30:36,11:29:00,21:53:00,,,10:24:00,61.43,11:29:00,19:20:38,7:51:39,,,0:00:00,00:00:00,00:00:00,8:57:02,,,,,
2011-03-11,06:50:50,19:19:19,12:28:29,12:26:00,22:36:00,,,10:10:00,72.43,12:26:00,19:19:19,6:53:19,,,0:00:00,00:00:00,00:00:00,8:14:51,,,,,
2011-03-12,06:51:38,19:17:59,12:26:21,13:22:00,23:25:00,,,10:03:00,84.43,13:22:00,19:17:59,5:56:00,,,0:00:00,00:00:00,00:00:00,7:26:39,,,,,
2011-03-13,06:52:26,19:16:39,12:24:13,14:16:00,,,,9:44:00,96.43,14:16:00,19:16:39,5:00:40,14:16:00,19:16:39,5:00:40,00:00:00,06:52:26,6:52:26,,,,,
2011-03-14,06:53:13,19:15:19,12:22:06,,00:21:00,15:07:00,,9:14:00,108.43,15:07:00,19:15:19,4:08:20,15:07:00,19:15:19,4:08:20,00:21:00,06:53:13,6:32:14,,,,,
2011-03-15,06:54:01,19:13:59,12:19:58,,01:22:00,15:54:00,,9:28:00,121.43,15:54:00,19:13:59,3:19:59,15:54:00,19:13:59,3:19:59,01:22:00,06:54:01,5:32:01,,,,,
2011-03-16,06:54:48,19:12:38,12:17:50,,02:28:00,16:36:00,,9:52:00,134.43,16:36:00,19:12:38,2:36:39,16:36:00,19:12:38,2:36:39,02:28:00,06:54:48,4:26:48,,,,,
2011-03-17,06:55:34,19:11:17,12:15:43,,03:37:00,17:15:00,,10:22:00,147.43,17:15:00,19:11:17,1:56:18,17:15:00,19:11:17,1:56:18,03:37:00,06:55:34,3:18:35,,,,,
2011-03-18,06:56:21,19:09:56,12:13:35,,04:47:00,17:53:00,,10:54:00,161.43,17:53:00,19:09:56,1:16:57,17:53:00,19:09:56,1:16:57,04:47:00,06:56:21,2:09:22,,,,,
2011-03-19,06:57:07,19:08:35,12:11:28,,05:59:00,18:29:00,,11:30:00,175.43,18:29:00,19:08:35,0:39:35,18:29:00,19:08:35,0:39:35,05:59:00,06:57:07,0:58:08,,,,,
2011-03-20,06:57:54,19:07:14,12:09:20,,07:11:00,19:06:00,,12:05:00,189.43,06:57:54,19:07:14,0:14:20,06:57:54,19:07:14,0:14:20,,,0:00:00,,,,,
2011-03-21,06:58:40,19:05:52,12:07:13,,08:23:00,19:45:00,,12:38:00,203.43,06:58:40,08:23:00,1:24:20,06:58:40,08:23:00,1:24:20,19:05:52,19:45:00,0:39:07,,,,,
2011-03-22,06:59:25,19:04:31,12:05:05,,09:36:00,20:28:00,,13:08:00,217.43,06:59:25,09:36:00,2:36:34,06:59:25,09:36:00,2:36:34,19:04:31,20:28:00,1:23:29,,,,,
2011-03-23,07:00:11,19:03:09,12:02:58,21:16:00,,,,2:44:00,231.43,,,0:00:00,,,0:00:00,00:00:00,21:16:00,9:13:02,,,,,
2011-03-24,07:00:57,19:01:48,12:00:51,,11:54:00,22:08:00,,13:46:00,244.43,07:00:57,11:54:00,4:53:03,07:00:57,11:54:00,4:53:03,19:01:48,22:08:00,3:06:12,,,,,
2011-03-25,07:01:42,19:00:26,11:58:44,,12:56:00,23:04:00,,13:52:00,257.43,07:01:42,12:56:00,5:54:18,07:01:42,12:56:00,5:54:18,19:00:26,23:04:00,4:03:33,,,,,
2011-03-26,07:02:27,18:59:05,11:56:38,,13:50:00,,,13:50:00,269.43,07:02:27,13:50:00,6:47:32,07:02:27,13:50:00,6:47:32,18:59:05,00:00:00,5:00:54,,,,,
2011-03-27,07:03:12,18:57:44,11:54:31,00:03:00,14:37:00,,,14:34:00,281.43,07:03:12,14:37:00,7:33:47,,,0:00:00,00:00:00,00:00:00,5:05:16,,,,,
2011-03-28,07:03:57,18:56:23,11:52:25,01:02:00,15:17:00,,,14:15:00,293.43,07:03:57,15:17:00,8:13:02,,,0:00:00,00:00:00,00:00:00,6:05:37,,,,,
2011-03-29,07:04:42,18:55:02,11:50:19,02:01:00,15:53:00,,,13:52:00,304.43,07:04:42,15:53:00,8:48:17,,,0:00:00,00:00:00,00:00:00,7:05:58,,,,,
2011-03-30,07:05:27,18:53:41,11:48:14,02:58:00,16:24:00,,,13:26:00,315.43,07:05:27,16:24:00,9:18:32,,,0:00:00,00:00:00,00:00:00,8:04:19,,,,,
2011-03-31,07:06:12,18:52:20,11:46:08,03:54:00,16:53:00,,,12:59:00,326.43,07:06:12,16:53:00,9:46:47,,,0:00:00,00:00:00,00:00:00,9:01:39,,,,,
2011-04-01,07:06:57,18:51:00,11:44:03,04:48:00,17:20:00,,,12:32:00,337.43,07:06:57,17:20:00,10:13:03,,,0:00:00,00:00:00,00:00:00,9:57:00,,,,,
2011-04-02,07:07:42,18:49:40,11:41:58,05:42:00,17:47:00,,,12:05:00,348.43,07:07:42,17:47:00,10:39:18,,,0:00:00,00:00:00,00:00:00,10:52:20,,,,,
2011-04-03,06:08:26,17:48:20,11:39:54,05:36:00,17:15:00,,,11:39:00,359.43,06:08:26,17:15:00,11:06:33,,,0:00:00,00:00:00,00:00:00,11:47:40,,,,,
2011-04-04,06:09:11,17:47:00,11:37:49,06:31:00,17:45:00,,,11:14:00,10.43,06:31:00,17:45:00,11:14:00,,,0:00:00,00:00:00,00:00:00,12:22:11,,,,,
2011-04-05,06:09:55,17:45:41,11:35:46,07:27:00,18:17:00,,,10:50:00,20.43,07:27:00,17:45:41,10:18:41,,,0:00:00,00:00:00,00:00:00,11:52:56,,,,,
2011-04-06,06:10:40,17:44:22,11:33:42,08:23:00,18:54:00,,,10:31:00,31.43,08:23:00,17:44:22,9:21:23,,,0:00:00,00:00:00,00:00:00,11:16:41,,,,,
2011-04-07,06:11:25,17:43:04,11:31:39,,19:35:00,,,19:35:00,43.43,06:11:25,17:43:04,11:31:39,,,0:00:00,19:35:00,00:00:00,4:25:00,,,,,
2011-04-08,06:12:09,17:41:46,11:29:36,10:16:00,20:22:00,,,10:06:00,54.43,10:16:00,17:41:46,7:25:46,,,0:00:00,00:00:00,00:00:00,9:50:10,,,,,
2011-04-09,06:12:54,17:40:28,11:27:34,11:10:00,21:15:00,,,10:05:00,65.43,11:10:00,17:40:28,6:30:29,,,0:00:00,00:00:00,00:00:00,8:57:54,,,,,
2011-04-10,06:13:38,17:39:11,11:25:33,12:01:00,22:13:00,,,10:12:00,77.43,12:01:00,17:39:11,5:38:12,,,0:00:00,00:00:00,00:00:00,8:00:39,,,,,
2011-04-11,06:14:23,17:37:55,11:23:31,12:48:00,23:15:00,,,10:27:00,89.43,12:48:00,17:37:55,4:49:55,,,0:00:00,00:00:00,00:00:00,6:59:24,,,,,
2011-04-12,06:15:08,17:36:38,11:21:31,13:30:00,,,,10:30:00,102.43,13:30:00,17:36:38,4:06:39,13:30:00,17:36:38,4:06:39,00:00:00,06:15:08,6:15:08,,,,,
2011-04-13,06:15:52,17:35:23,11:19:31,,00:20:00,14:10:00,,10:10:00,115.43,14:10:00,17:35:23,3:25:24,14:10:00,17:35:23,3:25:24,00:20:00,06:15:52,5:55:53,,,,,
2011-04-14,06:16:37,17:34:08,11:17:31,,01:27:00,14:46:00,,10:41:00,128.43,14:46:00,17:34:08,2:48:09,14:46:00,17:34:08,2:48:09,01:27:00,06:16:37,4:49:38,,,,,
2011-04-15,06:17:22,17:32:54,11:15:32,,02:35:00,15:22:00,,11:13:00,142.43,15:22:00,17:32:54,2:10:54,15:22:00,17:32:54,2:10:54,02:35:00,06:17:22,3:42:22,,,,,
2011-04-16,06:18:07,17:31:40,11:13:33,,03:45:00,15:58:00,,11:47:00,156.43,15:58:00,17:31:40,1:33:41,15:58:00,17:31:40,1:33:41,03:45:00,06:18:07,2:33:07,,,,,
2011-04-17,06:18:52,17:30:27,11:11:36,,04:56:00,16:36:00,,12:20:00,170.43,16:36:00,17:30:27,0:54:28,16:36:00,17:30:27,0:54:28,04:56:00,06:18:52,1:22:52,,,,,
2011-04-18,06:19:37,17:29:15,11:09:39,,06:09:00,17:17:00,,12:52:00,184.43,17:17:00,17:29:15,0:12:16,17:17:00,17:29:15,0:12:16,06:09:00,06:19:37,0:10:37,,,,,
2011-04-19,06:20:22,17:28:04,11:07:42,,07:21:00,18:03:00,,13:18:00,198.43,06:20:22,07:21:00,1:00:38,06:20:22,07:21:00,1:00:38,17:28:04,18:03:00,0:34:56,,,,,
2011-04-20,06:21:07,17:26:53,11:05:46,,08:32:00,18:54:00,,13:38:00,212.43,06:21:07,08:32:00,2:10:53,06:21:07,08:32:00,2:10:53,17:26:53,18:54:00,1:27:07,,,,,
2011-04-21,06:21:52,17:25:43,11:03:51,19:51:00,,,,4:09:00,225.43,,,0:00:00,,,0:00:00,00:00:00,19:51:00,8:47:09,,,,,
2011-04-22,06:22:37,17:24:34,11:01:57,,10:39:00,20:51:00,,13:48:00,238.43,06:22:37,10:39:00,4:16:23,06:22:37,10:39:00,4:16:23,17:24:34,20:51:00,3:26:26,,,,,
2011-04-23,06:23:22,17:23:25,11:00:03,,11:30:00,21:52:00,,13:38:00,251.43,06:23:22,11:30:00,5:06:37,06:23:22,11:30:00,5:06:37,17:23:25,21:52:00,4:28:34,,,,,
2011-04-24,06:24:07,17:22:18,10:58:11,,12:14:00,22:52:00,,13:22:00,263.43,06:24:07,12:14:00,5:49:52,06:24:07,12:14:00,5:49:52,17:22:18,22:52:00,5:29:41,,,,,
2011-04-25,06:24:53,17:21:11,10:56:19,,12:52:00,23:51:00,,13:01:00,274.43,06:24:53,12:52:00,6:27:07,,,0:00:00,17:21:11,23:51:00,6:29:48,,,,,
2011-04-26,06:25:38,17:20:06,10:54:28,,13:25:00,,,13:25:00,286.43,06:25:38,13:25:00,6:59:22,,,0:00:00,17:20:06,00:00:00,6:39:54,,,,,
2011-04-27,06:26:23,17:19:01,10:52:38,00:48:00,13:55:00,,,13:07:00,297.43,06:26:23,13:55:00,7:28:36,,,0:00:00,00:00:00,00:00:00,7:28:58,,,,,
2011-04-28,06:27:09,17:17:57,10:50:49,01:43:00,14:23:00,,,12:40:00,308.43,06:27:09,14:23:00,7:55:51,,,0:00:00,00:00:00,00:00:00,8:25:02,,,,,
2011-04-29,06:27:54,17:16:55,10:49:01,02:37:00,14:50:00,,,12:13:00,318.43,06:27:54,14:50:00,8:22:05,,,0:00:00,00:00:00,00:00:00,9:20:05,,,,,
2011-04-30,06:28:39,17:15:53,10:47:14,03:31:00,15:18:00,,,11:47:00,329.43,06:28:39,15:18:00,8:49:20,,,0:00:00,00:00:00,00:00:00,10:15:07,,,,,
2011-05-01,06:29:25,17:14:52,10:45:27,04:25:00,15:47:00,,,11:22:00,340.43,06:29:25,15:47:00,9:17:35,,,0:00:00,00:00:00,00:00:00,11:10:07,,,,,
